artist,song_name,golden_label,golden_dist,base1_dist,base2_dist,ours_dist
카더가든,로맨틱 선데이,사랑&기쁨,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",[0.0173 0.5886 0.2626 0.0588 0.0543 0.0184],[0.0302 0.2757 0.1456 0.4718 0.0561 0.0206],"[0.25, 0.25, 0.0714, 0.0, 0.0, 0.4286]"
애즈원,행복해 (feat. 키겐 Of 팬텀),사랑&기쁨,"[0.0189, 0.7925, 0.0755, 0.0755, 0.0, 0.0377]",[0.0879 0.1429 0.1082 0.5354 0.0954 0.0301],[0.0812 0.1597 0.1467 0.4667 0.1154 0.0303],"[0.1509, 0.4151, 0.1132, 0.2264, 0.0566, 0.0377]"
10CM,Where Is Dream,사랑&기쁨,"[0.1053, 0.7368, 0.0, 0.1053, 0.0, 0.0526]",[0.036  0.3143 0.5481 0.03   0.0441 0.0275],[0.0449 0.2227 0.6302 0.0354 0.0473 0.0195],"[0.1579, 0.3158, 0.1053, 0.0526, 0.2105, 0.1579]"
임한별,꽃처럼 예쁜 그대,사랑&기쁨,"[0.2941, 0.5882, 0.0, 0.1176, 0.0, 0.0]",[0.6001 0.0619 0.0157 0.0267 0.094  0.2015],[0.3774 0.1165 0.0335 0.0159 0.1878 0.2688],"[0.0588, 0.7059, 0.0, 0.1765, 0.0, 0.0588]"
수지 (Suzy),듣고 싶은 말,사랑&기쁨,"[0.16, 0.76, 0.04, 0.04, 0.0, 0.0]",[0.0156 0.4901 0.4263 0.0272 0.0254 0.0154],[0.0223 0.602  0.3266 0.0203 0.0194 0.0093],"[0.28, 0.6, 0.04, 0.0, 0.04, 0.04]"
윤딴딴,Melody,사랑&기쁨,"[0.0667, 0.8, 0.1333, 0.0, 0.0, 0.0]",[0.0127 0.468  0.444  0.0299 0.0296 0.0157],[0.0182 0.4627 0.4669 0.0269 0.0172 0.0081],"[0.1333, 0.4667, 0.3333, 0.0667, 0.0, 0.0]"
임슬옹,눈 감아도 눈을 떠도,사랑&기쁨,"[0.15, 0.5, 0.35, 0.0, 0.0, 0.0]",[0.0203 0.6646 0.2347 0.0199 0.0393 0.0213],[0.0342 0.772  0.1388 0.0118 0.0246 0.0187],"[0.25, 0.3, 0.35, 0.0, 0.0, 0.1]"
정엽,왜 이제야 왔니,사랑&기쁨,"[0.1739, 0.8261, 0.0, 0.0, 0.0, 0.0]",[0.1758 0.3869 0.2379 0.0207 0.111  0.0677],[0.0714 0.4399 0.3946 0.0206 0.0492 0.0242],"[0.2174, 0.7826, 0.0, 0.0, 0.0, 0.0]"
하성운,I Fall In Love,사랑&기쁨,"[0.037, 0.5926, 0.1481, 0.0, 0.0741, 0.1481]",[0.029  0.5578 0.3395 0.0271 0.0257 0.021 ],[0.0379 0.768  0.1429 0.0107 0.0219 0.0185],"[0.2963, 0.3333, 0.1852, 0.0, 0.0741, 0.1111]"
CHEEZE(치즈),우연히 잠시라도,사랑&기쁨,"[0.5, 0.3571, 0.0, 0.0, 0.0714, 0.0714]",[0.1233 0.0667 0.0404 0.0139 0.5974 0.1582],[0.3629 0.0581 0.0387 0.0159 0.3408 0.1836],"[0.3571, 0.1429, 0.0, 0.0, 0.2857, 0.2143]"
은하 (EUNHA),설레 (Pit-A-Pat),사랑&기쁨,"[0.0286, 0.5429, 0.4, 0.0, 0.0, 0.0286]",[0.0167 0.445  0.4722 0.0283 0.023  0.0147],[0.0182 0.683  0.252  0.0174 0.0185 0.0109],"[0.2571, 0.3429, 0.3143, 0.0, 0.0, 0.0857]"
웬디(WENDY),나를 신경 쓰고 있는 건가,사랑&기쁨,"[0.5217, 0.3043, 0.0435, 0.1304, 0.0, 0.0]",[0.0438 0.2208 0.2612 0.0329 0.3943 0.047 ],[0.0809 0.2455 0.3723 0.1399 0.1286 0.0328],"[0.3913, 0.4348, 0.0, 0.1304, 0.0435, 0.0]"
규현 (KYUHYUN),화려하지 않은 고백,사랑&기쁨,"[0.3846, 0.5385, 0.0, 0.0, 0.0, 0.0769]",[0.1316 0.4862 0.1107 0.028  0.1048 0.1387],[0.1371 0.6309 0.0882 0.0136 0.0703 0.06  ],"[0.1538, 0.6154, 0.0, 0.0, 0.0, 0.2308]"
공원소녀(Girls in the Park),I'm In Love,사랑&기쁨,"[0.0, 0.875, 0.125, 0.0, 0.0, 0.0]",[0.0188 0.4591 0.4349 0.0249 0.0432 0.0191],[0.0308 0.3269 0.5699 0.0338 0.0271 0.0114],"[0.125, 0.75, 0.0, 0.125, 0.0, 0.0]"
유승우,Luv Luv Baby,사랑&기쁨,"[0.0, 0.4667, 0.5333, 0.0, 0.0, 0.0]",[0.0297 0.3444 0.5495 0.0259 0.035  0.0154],[0.0289 0.453  0.4429 0.0331 0.0293 0.0128],"[0.0, 0.4667, 0.4667, 0.0, 0.0667, 0.0]"
조이 (JOY),말도 안돼,사랑&기쁨,"[0.1053, 0.2105, 0.2632, 0.4211, 0.0, 0.0]",[0.0432 0.4653 0.4015 0.025  0.0387 0.0262],[0.0421 0.6389 0.2557 0.0177 0.0274 0.0182],"[0.1579, 0.2105, 0.1579, 0.4211, 0.0526, 0.0]"
10CM,그라데이션,사랑&기쁨,"[0.2353, 0.4118, 0.1176, 0.0588, 0.1176, 0.0588]",[0.1604 0.4321 0.1092 0.0166 0.1777 0.104 ],[0.2717 0.3676 0.1028 0.0139 0.1438 0.1002],"[0.2941, 0.0588, 0.1765, 0.0588, 0.1765, 0.2353]"
DAY6 (Even of Day),"사랑, 이게 맞나 봐",사랑&기쁨,"[0.1176, 0.6471, 0.1765, 0.0588, 0.0, 0.0]",[0.0808 0.5454 0.2363 0.0153 0.0841 0.038 ],[0.1068 0.4724 0.2988 0.0217 0.0634 0.0368],"[0.1176, 0.5882, 0.0, 0.2353, 0.0588, 0.0]"
스무살,"걷자, 집앞이야 (feat. 주예인)",사랑&기쁨,"[0.0, 0.7619, 0.1905, 0.0, 0.0476, 0.0]",[0.0717 0.187  0.1972 0.247  0.2634 0.0337],[0.1162 0.1516 0.1151 0.3771 0.2037 0.0363],"[0.0476, 0.7143, 0.0476, 0.0, 0.0952, 0.0952]"
다비치,팡파레,사랑&기쁨,"[0.125, 0.6875, 0.1875, 0.0, 0.0, 0.0]",[0.0299 0.5021 0.385  0.0187 0.043  0.0213],[0.0525 0.5357 0.3323 0.0176 0.0428 0.0192],"[0.25, 0.5625, 0.1875, 0.0, 0.0, 0.0]"
원필(DAY6),소설 속의 작가가 되어,사랑&기쁨,"[0.0, 0.7619, 0.0952, 0.0952, 0.0476, 0.0]",[0.1342 0.2906 0.4298 0.0322 0.0639 0.0492],[0.1748 0.3562 0.3182 0.0221 0.0822 0.0464],"[0.1429, 0.5714, 0.1429, 0.0476, 0.0476, 0.0476]"
민서 (MINSEO),2cm (Feat. 폴킴),사랑&기쁨,"[0.1923, 0.4615, 0.1923, 0.0385, 0.0769, 0.0385]",[0.0301 0.3886 0.4731 0.0316 0.0491 0.0274],[0.0432 0.4043 0.4562 0.0369 0.0437 0.0157],"[0.2308, 0.1538, 0.0769, 0.2308, 0.1538, 0.1538]"
수지 (Suzy),Dream (Prod. by 박근태),사랑&기쁨,"[0.0, 0.4706, 0.2941, 0.1765, 0.0, 0.0588]",[0.0903 0.486  0.2407 0.0283 0.0939 0.0608],[0.0743 0.5331 0.3215 0.0161 0.0364 0.0186],"[0.0588, 0.1765, 0.4118, 0.1176, 0.2353, 0.0]"
Young K (DAY6),베스트 송,사랑&기쁨,"[0.3158, 0.5789, 0.0, 0.0, 0.1053, 0.0]",[0.1833 0.3664 0.0977 0.0418 0.1773 0.1334],[0.1986 0.3968 0.1918 0.0229 0.137  0.0529],"[0.1053, 0.3684, 0.0, 0.2105, 0.2105, 0.1053]"
로꼬,Somebody!,사랑&기쁨,"[0.5625, 0.25, 0.0625, 0.0625, 0.0625, 0.0]",[0.0511 0.4024 0.2864 0.0615 0.1563 0.0423],[0.0553 0.4218 0.2403 0.2075 0.0462 0.0288],"[0.5, 0.125, 0.25, 0.0625, 0.0625, 0.0]"
B.I(비아이),자장가,사랑&기쁨,"[0.3871, 0.5161, 0.0968, 0.0, 0.0, 0.0]",[0.1242 0.3789 0.3406 0.0277 0.0918 0.0368],[0.0694 0.5895 0.2611 0.015  0.043  0.0221],"[0.1935, 0.7419, 0.0645, 0.0, 0.0, 0.0]"
백예린,그의 바다,사랑&기쁨,"[0.1875, 0.375, 0.1875, 0.1875, 0.0, 0.0625]",[0.0762 0.0763 0.0426 0.0371 0.6336 0.1343],[0.2159 0.0617 0.0706 0.0486 0.4122 0.1909],"[0.3125, 0.0, 0.1875, 0.0625, 0.0625, 0.375]"
멜로망스(MeloMance),걸작품,사랑&기쁨,"[0.0, 0.875, 0.125, 0.0, 0.0, 0.0]",[0.018  0.6879 0.2371 0.0242 0.0202 0.0127],[0.0203 0.7779 0.1619 0.0115 0.018  0.0103],"[0.1875, 0.625, 0.1875, 0.0, 0.0, 0.0]"
강승윤,그냥 사랑 노래,사랑&기쁨,"[0.2105, 0.5263, 0.0, 0.2105, 0.0, 0.0526]",[0.0626 0.3677 0.2258 0.0335 0.2219 0.0885],[0.0516 0.5259 0.327  0.0283 0.0463 0.0209],"[0.1053, 0.4211, 0.0526, 0.1579, 0.0, 0.2632]"
웬디(WENDY),Why Can't You Love Me?,사랑&기쁨,"[0.4167, 0.5, 0.0833, 0.0, 0.0, 0.0]",[0.0289 0.6857 0.1762 0.0365 0.0486 0.0239],[0.0189 0.72   0.182  0.0445 0.0231 0.0115],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
WINNER,I LOVE U,사랑&기쁨,"[0.1364, 0.6818, 0.0909, 0.0909, 0.0, 0.0]",[0.0293 0.3645 0.5174 0.0242 0.0422 0.0224],[0.0259 0.2514 0.6435 0.0404 0.0273 0.0115],"[0.0455, 0.5455, 0.2273, 0.0455, 0.0909, 0.0455]"
백아연,사랑인 듯 아닌 듯,사랑&기쁨,"[0.1, 0.75, 0.05, 0.05, 0.05, 0.0]",[0.1497 0.3113 0.2562 0.0187 0.197  0.067 ],[0.127  0.4948 0.23   0.0203 0.079  0.0489],"[0.1, 0.55, 0.2, 0.05, 0.1, 0.0]"
탑현,사랑한다고 말해줘,사랑&기쁨,"[0.0, 0.7059, 0.2941, 0.0, 0.0, 0.0]",[0.0376 0.6607 0.2031 0.0223 0.0409 0.0354],[0.0669 0.6397 0.2166 0.0142 0.0383 0.0244],"[0.0588, 0.5294, 0.2353, 0.1176, 0.0, 0.0588]"
NCT 127,우산 (Love Song),사랑&기쁨,"[0.1765, 0.7647, 0.0588, 0.0, 0.0, 0.0]",[0.0651 0.5593 0.2021 0.0275 0.0883 0.0576],[0.0267 0.6357 0.2795 0.0207 0.0246 0.0129],"[0.1765, 0.2941, 0.0588, 0.1176, 0.1765, 0.1765]"
유승우,선 (feat. 우효) (45.7cm),사랑&기쁨,"[0.5, 0.35, 0.15, 0.0, 0.0, 0.0]",[0.045  0.161  0.0891 0.1249 0.4537 0.1263],[0.1556 0.454  0.1693 0.0313 0.1322 0.0575],"[0.15, 0.3, 0.3, 0.0, 0.2, 0.05]"
빌리어코스티,우리 한번 만나볼래요,사랑&기쁨,"[0.0, 0.8333, 0.125, 0.0417, 0.0, 0.0]",[0.0196 0.5416 0.3621 0.0291 0.0279 0.0198],[0.0282 0.746  0.177  0.0134 0.022  0.0134],"[0.125, 0.2083, 0.5, 0.0, 0.0417, 0.125]"
케이시,사랑이야,사랑&기쁨,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",[0.1417 0.5541 0.1202 0.0233 0.0723 0.0883],[0.1363 0.6173 0.1185 0.0143 0.0609 0.0527],"[0.4333, 0.4667, 0.0, 0.0, 0.0333, 0.0667]"
그_냥,Cookie,사랑&기쁨,"[0.2381, 0.6667, 0.0, 0.0, 0.0, 0.0952]",[0.0262 0.5617 0.3106 0.0393 0.0444 0.0178],[0.0432 0.468  0.3782 0.0475 0.0501 0.013 ],"[0.0, 0.7143, 0.0, 0.0, 0.2381, 0.0476]"
소란(SORAN),있어주면 (Be with me),사랑&기쁨,"[0.375, 0.5312, 0.0312, 0.0, 0.0625, 0.0]",[0.1365 0.4614 0.2333 0.0188 0.0946 0.0553],[0.1047 0.5632 0.2283 0.0136 0.0565 0.0337],"[0.4375, 0.3125, 0.0938, 0.0, 0.0938, 0.0625]"
류수정,나와,사랑&기쁨,"[0.1579, 0.5263, 0.0, 0.1053, 0.0, 0.2105]",[0.0163 0.4899 0.4212 0.0379 0.0236 0.0112],[0.0185 0.7372 0.2021 0.0155 0.0165 0.0101],"[0.2632, 0.1579, 0.2632, 0.1053, 0.0526, 0.1579]"
김재환,LOVE STRIKE,사랑&기쁨,"[0.0556, 0.7778, 0.1667, 0.0, 0.0, 0.0]",[0.0167 0.4292 0.4723 0.0388 0.0306 0.0123],[0.0267 0.4438 0.4605 0.0383 0.0213 0.0093],"[0.0, 0.5556, 0.3333, 0.0, 0.0556, 0.0556]"
하현상,Dear You,사랑&기쁨,"[0.0, 0.9444, 0.0, 0.0, 0.0, 0.0556]",[0.0234 0.7027 0.1896 0.0227 0.0384 0.0232],[0.0233 0.7647 0.1681 0.0141 0.0186 0.0112],"[0.3333, 0.3889, 0.1111, 0.0556, 0.0556, 0.0556]"
스텔라 장(Stella Jang),Choose You,사랑&기쁨,"[0.2, 0.8, 0.0, 0.0, 0.0, 0.0]",[0.0372 0.1923 0.1907 0.2577 0.2865 0.0357],[0.0664 0.2556 0.2628 0.3082 0.077  0.03  ],"[0.8, 0.1, 0.0, 0.0, 0.0, 0.1]"
위아영 (WeAreYoung),너를 위해,사랑&기쁨,"[0.2143, 0.7857, 0.0, 0.0, 0.0, 0.0]",[0.5042 0.1194 0.0291 0.0217 0.1049 0.2207],[0.3444 0.3237 0.0605 0.0135 0.1096 0.1483],"[0.2143, 0.7143, 0.0, 0.0, 0.0, 0.0714]"
커피소년,우리는 사랑이겠죠 (With 제이레빗),사랑&기쁨,"[0.0909, 0.6818, 0.0, 0.0, 0.0909, 0.1364]",[0.3783 0.0624 0.0207 0.0197 0.208  0.3109],[0.2706 0.2632 0.0442 0.0221 0.2065 0.1933],"[0.0, 0.7273, 0.0, 0.0, 0.1364, 0.1364]"
새봄(Saevom),둘이기에 (With 윤한솔),사랑&기쁨,"[0.2857, 0.4762, 0.0, 0.0, 0.0, 0.2381]",[0.3279 0.0353 0.0169 0.0125 0.3551 0.2523],[0.3285 0.0519 0.0314 0.0191 0.3476 0.2214],"[0.1429, 0.2857, 0.0476, 0.0476, 0.0476, 0.4286]"
SOPHIA(솝히아),너를 알아가 (Getting to know you),사랑&기쁨,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",[0.0435 0.7013 0.1373 0.0184 0.0608 0.0387],[0.1026 0.6851 0.1042 0.0116 0.0558 0.0407],"[0.2353, 0.5294, 0.1765, 0.0, 0.0588, 0.0]"
406호 프로젝트,남기지마요,사랑&기쁨,"[0.0769, 0.7692, 0.0, 0.0, 0.0, 0.1538]",[0.126  0.4201 0.2558 0.0336 0.0851 0.0794],[0.0446 0.5721 0.3132 0.0175 0.0314 0.0212],"[0.3077, 0.3077, 0.0, 0.0769, 0.0, 0.3077]"
초이(CHOI),너라는 해(海),사랑&기쁨,"[0.0909, 0.8182, 0.0, 0.0, 0.0, 0.0909]",[0.1858 0.3489 0.091  0.0205 0.2167 0.137 ],[0.0722 0.7515 0.083  0.012  0.0464 0.0348],"[0.0909, 0.5455, 0.0, 0.0, 0.2727, 0.0909]"
연(yeon),"우리, 빛나는 밤 (feat. 변흥수)",사랑&기쁨,"[0.1852, 0.6296, 0.1852, 0.0, 0.0, 0.0]",[0.0239 0.4719 0.4006 0.0257 0.0505 0.0274],[0.0782 0.4718 0.3485 0.0224 0.0518 0.0273],"[0.2963, 0.6296, 0.0741, 0.0, 0.0, 0.0]"
정해일,별빛보다 널,사랑&기쁨,"[0.1034, 0.8966, 0.0, 0.0, 0.0, 0.0]",[0.024  0.6832 0.2091 0.0212 0.0397 0.0229],[0.0226 0.7897 0.1445 0.0128 0.0189 0.0116],"[0.3103, 0.6897, 0.0, 0.0, 0.0, 0.0]"
박재우,시인이 되어,사랑&기쁨,"[0.2857, 0.7143, 0.0, 0.0, 0.0, 0.0]",[0.0993 0.578  0.1565 0.0366 0.062  0.0676],[0.204  0.4869 0.1107 0.0155 0.0935 0.0894],"[0.4286, 0.5714, 0.0, 0.0, 0.0, 0.0]"
이민혁,하늘엔 별이 떠있고 너만큼은 빛나질 않아,사랑&기쁨,"[0.2917, 0.5833, 0.0833, 0.0417, 0.0, 0.0]",[0.1313 0.4724 0.1393 0.0182 0.1641 0.0747],[0.1446 0.5391 0.1566 0.0165 0.0842 0.0591],"[0.375, 0.375, 0.0, 0.0, 0.0833, 0.1667]"
가히,꼬리별 (Prod. By 찰리파크),사랑&기쁨,"[0.1111, 0.5556, 0.2222, 0.1111, 0.0, 0.0]",[0.031  0.5555 0.3071 0.0244 0.0593 0.0228],[0.135  0.2499 0.3607 0.0495 0.1574 0.0476],"[0.4444, 0.2222, 0.1111, 0.1111, 0.1111, 0.0]"
오아랜 (or&),욕심 (with 적재),사랑&기쁨,"[0.2727, 0.6364, 0.0, 0.0, 0.0, 0.0909]",[0.0586 0.6562 0.1188 0.0274 0.0841 0.055 ],[0.0941 0.7168 0.0802 0.0121 0.0544 0.0424],"[0.1818, 0.6364, 0.0909, 0.0, 0.0, 0.0909]"
민수,커다란,사랑&기쁨,"[0.1667, 0.8333, 0.0, 0.0, 0.0, 0.0]",[0.1564 0.4622 0.0912 0.0217 0.1536 0.1149],[0.1212 0.643  0.0793 0.0147 0.079  0.0628],"[0.5, 0.25, 0.0, 0.0833, 0.1667, 0.0]"
최창순,사랑에 관하여,사랑&기쁨,"[0.1667, 0.4167, 0.0, 0.25, 0.0, 0.1667]",[0.2102 0.3563 0.0911 0.0245 0.1783 0.1396],[0.0647 0.6753 0.1339 0.0278 0.0596 0.0386],"[0.1667, 0.3333, 0.0, 0.1667, 0.25, 0.0833]"
그_냥,어른이 된 걸까요 (해화),사랑&기쁨,"[0.1333, 0.6, 0.0, 0.0, 0.0, 0.2667]",[0.6129 0.0674 0.0297 0.0198 0.0991 0.1711],[0.4479 0.0525 0.0239 0.0128 0.1561 0.3068],"[0.0, 0.4667, 0.0, 0.0, 0.0, 0.5333]"
술탄 오브 더 디스코(Sultan Of The Disco),캐러밴,사랑&기쁨,"[0.4231, 0.5385, 0.0, 0.0, 0.0, 0.0385]",[0.068  0.2438 0.3551 0.0311 0.2443 0.0577],[0.1696 0.3486 0.1575 0.0304 0.2064 0.0876],"[0.2692, 0.3846, 0.1538, 0.0, 0.0385, 0.1538]"
신온유와 김강,허밍버드,사랑&기쁨,"[0.3571, 0.5, 0.0714, 0.0, 0.0, 0.0714]",[0.0258 0.5502 0.3206 0.031  0.0498 0.0227],[0.0404 0.7244 0.1731 0.0114 0.0302 0.0205],"[0.2143, 0.5714, 0.1429, 0.0, 0.0, 0.0714]"
진동욱,IFLH,사랑&기쁨,"[0.0588, 0.4706, 0.0588, 0.1765, 0.1176, 0.1176]",[0.0731 0.148  0.1409 0.3477 0.2549 0.0354],[0.1003 0.1682 0.1226 0.3771 0.2003 0.0315],"[0.0588, 0.2941, 0.1176, 0.1176, 0.1176, 0.2941]"
사공(Sagong),겨울의 노래,사랑&기쁨,"[0.25, 0.5, 0.0, 0.0833, 0.0833, 0.0833]",[0.1579 0.463  0.1014 0.0234 0.1279 0.1265],[0.0479 0.8009 0.0745 0.0099 0.0378 0.029 ],"[0.0833, 0.3333, 0.0833, 0.0, 0.3333, 0.1667]"
wave to earth,daisy.,사랑&기쁨,"[0.2, 0.65, 0.0, 0.0, 0.05, 0.1]",[0.0664 0.172  0.1495 0.4038 0.1725 0.0359],[0.0836 0.1678 0.1248 0.4142 0.1808 0.0289],"[0.2, 0.15, 0.05, 0.4, 0.2, 0.0]"
윤지영,My luv (Prod. Benny Sings),사랑&기쁨,"[0.0, 0.9, 0.0, 0.05, 0.05, 0.0]",[0.06   0.4772 0.1937 0.0765 0.1218 0.0708],[0.0498 0.603  0.2609 0.0216 0.042  0.0228],"[0.15, 0.75, 0.05, 0.0, 0.05, 0.0]"
최정윤,달라,사랑&기쁨,"[0.125, 0.875, 0.0, 0.0, 0.0, 0.0]",[0.0228 0.5184 0.3392 0.075  0.0308 0.0138],[0.0206 0.4451 0.4467 0.0579 0.0214 0.0084],"[0.0417, 0.6667, 0.0417, 0.0417, 0.2083, 0.0]"
이루리,About Summer,사랑&기쁨,"[0.0, 0.7059, 0.1176, 0.0294, 0.0294, 0.1176]",[0.1465 0.4341 0.1981 0.0178 0.1376 0.0659],[0.2548 0.3139 0.2356 0.017  0.1199 0.0588],"[0.2059, 0.2647, 0.1471, 0.0, 0.1471, 0.2353]"
CHEEZE(치즈),All day,사랑&기쁨,"[0.4667, 0.4, 0.0, 0.1333, 0.0, 0.0]",[0.0405 0.2369 0.6115 0.0528 0.0452 0.0131],[0.0222 0.2924 0.5704 0.0805 0.0238 0.0106],"[0.6667, 0.2, 0.0, 0.0667, 0.0667, 0.0]"
차세대,O garden,사랑&기쁨,"[0.25, 0.4167, 0.0, 0.3333, 0.0, 0.0]",[0.06   0.3957 0.4398 0.054  0.0301 0.0204],[0.0548 0.5845 0.2969 0.0147 0.03   0.0189],"[0.1667, 0.3333, 0.0833, 0.25, 0.0833, 0.0833]"
오마이걸(OH MY GIRL),내 얘길 들어봐 (A-ing) (feat. 스컬 & 하하),사랑&기쁨,"[0.0909, 0.4545, 0.1818, 0.1818, 0.0, 0.0909]",[0.0627 0.1376 0.1039 0.4204 0.2364 0.039 ],[0.0614 0.1235 0.0831 0.5445 0.1589 0.0286],"[0.1818, 0.5455, 0.0, 0.1818, 0.0, 0.0909]"
이달의 소녀 (희진),Honestly,사랑&기쁨,"[0.1429, 0.2857, 0.2143, 0.0714, 0.0714, 0.2143]",[0.0237 0.3665 0.4062 0.0574 0.1113 0.0349],[0.0375 0.4283 0.3796 0.1085 0.0342 0.0119],"[0.2143, 0.0714, 0.4286, 0.0, 0.1429, 0.1429]"
타코(Tako),언제든 기대요 (Feat. 슬로(Sllo)),사랑&기쁨,"[0.36, 0.44, 0.0, 0.12, 0.0, 0.08]",[0.3594 0.2114 0.0794 0.0142 0.2265 0.1091],[0.4096 0.1404 0.0694 0.0142 0.2255 0.1409],"[0.6, 0.24, 0.0, 0.0, 0.08, 0.08]"
SUMIN(수민),Miracle (Prod. Devin Morrison),사랑&기쁨,"[0.0, 0.8571, 0.0, 0.0, 0.0, 0.1429]",[0.0242 0.7344 0.1348 0.0219 0.0583 0.0263],[0.0208 0.8205 0.112  0.0136 0.0205 0.0125],"[0.0, 0.5714, 0.0, 0.1429, 0.0, 0.2857]"
케이시,아리운,사랑&기쁨,"[0.4167, 0.25, 0.0, 0.0833, 0.0833, 0.1667]",[0.296  0.1081 0.03   0.0183 0.2468 0.3008],[0.3495 0.1746 0.0497 0.0152 0.1958 0.2151],"[0.0833, 0.0833, 0.0, 0.0, 0.0833, 0.75]"
개코,새벽을 믿지 말자,사랑&기쁨,"[0.0952, 0.3333, 0.2381, 0.1429, 0.1429, 0.0476]",[0.0503 0.4481 0.3693 0.0204 0.0794 0.0325],[0.2893 0.2981 0.1778 0.0179 0.1429 0.074 ],"[0.381, 0.1905, 0.1429, 0.0952, 0.0952, 0.0952]"
이하이,For You (Feat. Crush),사랑&기쁨,"[0.0, 0.8889, 0.0278, 0.0, 0.0, 0.0833]",[0.0769 0.1603 0.1293 0.36   0.2409 0.0327],[0.1101 0.1503 0.1137 0.3882 0.2034 0.0343],"[0.3333, 0.1389, 0.0556, 0.0556, 0.0278, 0.3889]"
HONNE(혼네),free love (dream edit),사랑&기쁨,"[0.0, 0.8182, 0.0455, 0.0909, 0.0455, 0.0]",[0.0756 0.119  0.0959 0.3518 0.3132 0.0446],[0.0921 0.125  0.088  0.4171 0.2412 0.0366],"[0.1818, 0.1364, 0.0455, 0.2273, 0.1364, 0.2727]"
에일리(Ailee),Murder On The Dance Floor,사랑&기쁨,"[0.0204, 0.2857, 0.0612, 0.5102, 0.0204, 0.102]",[0.0884 0.1748 0.145  0.2934 0.2615 0.0368],[0.1545 0.1694 0.1161 0.3003 0.2126 0.0472],"[0.1837, 0.2245, 0.2041, 0.2653, 0.0612, 0.0612]"
ZELO(젤로),SMILE,사랑&기쁨,"[0.0625, 0.875, 0.0625, 0.0, 0.0, 0.0]",[0.0488 0.3148 0.3051 0.1993 0.1087 0.0233],[0.1215 0.2556 0.3752 0.1242 0.0913 0.0322],"[0.0625, 0.625, 0.0625, 0.0, 0.125, 0.125]"
merrymerryseoul,바보야 (by 에이민) (Prod. H!),사랑&기쁨,"[0.3, 0.2, 0.4, 0.1, 0.0, 0.0]",[0.5795 0.113  0.0329 0.0117 0.1397 0.1232],[0.414  0.2559 0.0648 0.0124 0.1182 0.1347],"[0.3, 0.1, 0.4, 0.2, 0.0, 0.0]"
woo!ah! (우아!),단거(Danger),사랑&기쁨,"[0.0645, 0.8065, 0.0968, 0.0323, 0.0, 0.0]",[0.0375 0.3141 0.3645 0.2258 0.0432 0.0148],[0.0275 0.5535 0.2727 0.1055 0.0289 0.0118],"[0.0323, 0.6129, 0.129, 0.0645, 0.0645, 0.0968]"
정훈희,안개,사랑&기쁨,"[0.5556, 0.1111, 0.0, 0.1111, 0.1111, 0.1111]",[0.4232 0.1179 0.0521 0.0112 0.2493 0.1463],[0.4645 0.1213 0.0534 0.0125 0.1603 0.188 ],"[0.1111, 0.1111, 0.1111, 0.0, 0.4444, 0.2222]"
송창식,사랑이야,사랑&기쁨,"[0.25, 0.5, 0.1875, 0.0, 0.0, 0.0625]",[0.2355 0.2628 0.1715 0.0185 0.2039 0.1079],[0.2048 0.3834 0.2254 0.0183 0.1115 0.0565],"[0.375, 0.375, 0.0, 0.0, 0.0625, 0.1875]"
소리새,그대 그리고 나,사랑&기쁨,"[0.625, 0.125, 0.0, 0.0, 0.0, 0.25]",[0.4855 0.0631 0.0237 0.0166 0.1366 0.2744],[0.4755 0.0734 0.0294 0.0124 0.1569 0.2523],"[0.375, 0.25, 0.0, 0.0, 0.0, 0.375]"
유심초,사랑이여,사랑&기쁨,"[0.0769, 0.6923, 0.0, 0.0, 0.0769, 0.1538]",[0.0517 0.6901 0.1127 0.0282 0.0678 0.0495],[0.0351 0.8556 0.0511 0.0104 0.0266 0.0211],"[0.2308, 0.5385, 0.0, 0.0, 0.0769, 0.1538]"
정훈희,꽃밭에서,사랑&기쁨,"[0.1667, 0.8333, 0.0, 0.0, 0.0, 0.0]",[0.034  0.6435 0.2073 0.0278 0.0539 0.0334],[0.0343 0.8233 0.0974 0.0084 0.0222 0.0145],"[0.0, 0.5833, 0.4167, 0.0, 0.0, 0.0]"
이장희,나 그대에게 모두드리리,사랑&기쁨,"[0.0, 0.75, 0.25, 0.0, 0.0, 0.0]",[0.0319 0.6218 0.2509 0.0248 0.0451 0.0255],[0.0503 0.6899 0.1903 0.0133 0.0351 0.021 ],"[0.25, 0.5, 0.25, 0.0, 0.0, 0.0]"
해바라기,행복을 주는 사람,사랑&기쁨,"[0.0, 0.9286, 0.0, 0.0, 0.0714, 0.0]",[0.0499 0.424  0.4074 0.0279 0.0628 0.028 ],[0.0531 0.7371 0.1389 0.012  0.0365 0.0225],"[0.0, 0.7857, 0.0, 0.0, 0.2143, 0.0]"
윤연선,얼굴,사랑&기쁨,"[0.25, 0.75, 0.0, 0.0, 0.0, 0.0]",[0.0426 0.4785 0.339  0.034  0.0655 0.0404],[0.0928 0.5549 0.2687 0.0125 0.0457 0.0253],"[0.5, 0.25, 0.0, 0.0, 0.0, 0.25]"
