,diary,emotion,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2091,그러면서 그전에는 이해하지 못했던 엄마선배들의 행동이 단번에 모두 이해가 되고 있다.,3,,,,,
2092,그 전에 내가 엄마선배들에 불만을 가졌다면 그것은 내가 그들의 삶을 경험하지 못했기 때문이다.,3,,,,,
2093,"하지만, 내가 그들과 같은 삶을 살아보니 그것은 그들의 생존전략이었다는 것을 이해하게 되었다.",3,,,,,
2094,아마 내가 워킹맘이 되지 않았다면 이해하지 못했을 것이다.,3,,,,,
2095,앞으로는 내가 경험하지 않은 것에 대해 왈가왈부하지 않겠다.,3,,,,,
2096,엄마가 되면서 많은 지혜가 생기고 있다는 것은 아이가 나에게 주는 선물일 것이다.,1,,,,,
2097,"오늘 마음의 기록. 여전히 그가 좋다. 그냥 존재로 감사하고 좋은 사람이다, 나에겐. 사랑스러운 사람이고 존경하는 사람이다. 어떠한 상상도 필요하지 않다는 걸 느끼게 된다. 그냥 그 자체로 충분히 빛나고 좋은 사람. 그거면 됐다.",1,,,,,
2098,내가 가고 있는 이 길이 옳은지...,3,,,,,
2099,침대 머리 맡에서 나는 미래의 나를 떠올린다.,2,,,,,
2100,미래의 나는 어떠한 모습일지 상상을 해본다.,2,,,,,
2101,이러한 상상은 다 부질없는 일이라고...,3,,,,,
2102,하지만 그래도 계속해서 상상한다.,2,,,,,
2103,상상의 나의 삶을 이끄는 원천이기 때문에,2,,,,,
2104,나는 침대에서 미래를 설계한다.,2,,,,,
2105,그 미래가 어떻게 될 지는 아무도 모른다.,3,,,,,
2106,그러나 나는 계속해서 꿈꾼다.,2,,,,,
2107,오늘도 내일도 모레도 변함 없이 미래의 나를 향하여 전진한다,2,,,,,
2108,"내가 여행을 떠나는 이유는 현실에 도피하기 위해서다. 모르는 사람을 만나고 낯선 공간에서 가장 나다워 질 수 있기 때문이다. 여행을 하며 나를 찾는다는게 어처구니 없다. 아직도 나는 내가 누군지 다른사람에게 확실하게 설명할 수 없다. 어릴때 공부걱정, 취업걱정말고 나를 찾는 시간들을 가졌으면 더 좋았겠다고 생각하곤한다.",3,,,,,
2109,앞으로 나에대해 더 많이 알아가야겠다. 그래서 이번달도 여행을 떠난다.,2,,,,,
2110,나는 오늘 엄마랑 영어공부를 했다. 나는 선생님을 해봤다. 누나가 비웃었다. 나는 대개 재미있었다.나는 학생을 해봤는데 별로 재밌진 않았다.그 이유는 숙제 내주는 게 재미있어서다.엄마가 학생을 했는데 영어를 나보다 잘했다.,1,,,,,
2111,"아침 일찍 준비해서 프라하로 도착했다. 11시 기차이니 넉넉하게 탈 줄 알았는데 기차 연착돼서 완전 간신히 5분전에 탑승! 지루한 4시간 정도 여행 끝에 프라하 도착해서 환전소에서 3유로만 바꾸고 지하철 타고 바로 도착했다. 어디갈지 딱 루트를 정한게 아니라서 정처없이 걷다가 까를교 쪽으로 갔는데 생각보다 날씨도 너무 좋고 다 좋았다... 근데 까를교에 막상 올라가니까 다들 삼삼오오 다니고 갑자기 서럽고 그래서 그냥 돌아다니다가 뜨르들로 먹고 숙소로 컴백. 그래고 이래서는 안되겠다 싶어서 백화점 가던 길에 장난감 가게 발견! 거기서부터 기분 좋아져서 행복하게 구경하고 백화점으로 고고. 진짜 삘 딱 꽂힌 옷 있어서 사고 바디워시도,,,10시쯤에 카페에서 숙소로 오는데 다 컴컴해서 좀 무서웠지만 사람도 많고 나같은 어린 동양인 학생이 혼자 돌아다니는 거에 자부심 느꼈다. 숙소 도착하고 씻고! 지금 애들 다 나가서 빨리 잠들어야 한다. 인생샷 찍을 내일을 기대하면서 안녕.",2,,,,,
2112,음... 내가  미워하는 사람이 있습니다. 싫은 사람인게죠,3,,,,,
2113,문제는 출근해서 매일 퇴근시간까지 마주해야하고 더한 것은 점심식사를 같은 자리에서 같이 해야한다는 것입니다.,3,,,,,
2114,이거... 정말 괴롭습니다.,3,,,,,
2115,내가 아무리 안그런 척 이것 저것 부족하다 싶은 것들을 알려주고 챙겨주고는 있지만  밉고 싫은 건 사실입니다.,3,,,,,
2116,"대표에게 매일 음료수를 혼자 갖다준답니다. 같은 동료들에게는 돌리지않으면서 대표에게만 그것도 살짝,  다른 직원들 몰래 갖다준답니다. 그리고는 소곤소곤 이야기를 합니다.",3,,,,,
2117,"목소리 작은 건 누가 뭐라 하겠냐만, 근무시간에도 속삭이며 이야기합니다. 그리고 자신이 화가나면 큰 목소리가 나오기도 한답니다. 아예 목소리가 작다면 모르겠지만 의도적으로 혼자 궁시렁 거리며 혼잣말 식으로 이야기하고 너네게 알아들으라는 듯하여 무척 불쾌합니다. 3번을 이야기했지만 노력하겠다고만 하지 변하지 않습니다.",3,,,,,
2118,더 이야기해봤자 잔소리로밖에 느껴지지않을테니 더이상 이야기는 않고 있습니다.,3,,,,,
2119,같이 식사하고 거의 매일 마주하는 동료들에게는 자신의 이야기는 하지않으면서 거래처 남자 대표들에게는 정말 이상하게 들릴 정도의 웃음소리로 응대하고 콧소리를 내고 자신이 운동하러 다닌다는 둥 개인사를 이야기하는 걸 보고 다른 직원들 모두 어처구니없어 했습니다.,3,,,,,
2120,음... 이상하고 밉고 싫습니다.  방법이 없습니다.  내 마음을 바꾸려고 법문도 읽어보고 성경도 읽어보고 마음가짐을 바꾸자 다짐을 하고 미운놈 떡하나 더 준다는 속담처럼 간식도 사주고 해봤지만 미운 건 변함없습니다. 그래서 제 자신이 불편합니다. 탈출하고 싶습니다.  저는 미워하는 사람이 있습니다.,3,,,,,
2121,아침에 일어나니 이미 아홉시였다. 숙취가 몰려와 속은 쓰리고 머리가 아팠다. 속으로 다시는 과음하지 않겠다는 하루도 못갈 헛된 다짐을 욕과 함께 뇌까리며 아침밥을 먹고 다시 잤다. 다행히 영순면 팀이 오전에는 조사를 안하기로 되어있어서 맘 편히 쉴 수 있었다.,3,,,,,
2122,열두시 반 쯤 깼는데 여전히 숙취로 골이 당기고 속이 메슥거렸다. 몸에서는 열이 나는지 무지 더웠다. 이윽고 조사지에 도착했다. 버스에서 내리니 좀 나은 것처럼 느껴졌다. 이전에도 할매들로부터 환대를 받았던 퇴안 마을 경로당에서 조사를 진행했다. 우리 조에는 특이하게도 외국인이 둘이나 있었으니 메이지와 터키에서 온 아이든이었다.,3,,,,,
2123,무엇보다 이상적이었던 것은 방언을 우리에게 '선생'으로서 가르친다는 당신의 역할을 아주 잘 이해하고 있었다는 점이다. 그래서 학생들이 별 힘을 들이지 않고도 조사를 수월하게 할 수 있었다.,1,,,,,
2124,숙취로 가득찬 조사도 어떻게 끝나고 저녁을 먹은 후 발표회를 가졌다. 학생들은 열정적으로 자기들이 발견한 것을 발표했다. 나는 학생들이 이 경험을 그저 추억으로만 남기지 말고 계속해서 현지 조사에 관심을 가져줬으면 좋겠다고 소회를 밝혔다.,1,,,,,
2125,"발표회가 끝나고, 또 술판이 벌어졌다. 나는 기필코 과음을 하지 않겠다는 일념으로 끝까지 살아남을 수 있었다. 중간에 학부생들 몇 명이 별을 보고 싶다하여 다같이 별을 보러 나갔는데 하늘이 미세먼지로 흐려서 잘 보일까 싶더니 꽤 잘 보였다.",1,,,,,
2126,17학번 애가 내게 반말을 하며 저 별이 뭐냐 묻고 어떤 애는 마치 고양이가 하듯 내게 머리를 부볐다. 까마득한 후배들이 내게 이렇게 편하게 대하니 기분이 좋았다.,1,,,,,
2127,"아침에 늦게 일어나서(사실 그렇게 늦게 일어난 것도 아니었는데..) 조식이 다 떨어져서 빵이랑 계란후라이만 먹었다. 녹차케이크가 맛있었고 우유는 싱거웠다. 중국은 역시 차의 나라인 것 같다ㅋㅋ 오늘은 호텔에서 택시를 잡아줘서 비교적 쉽게 택시를 잡고 중국 상해 유아용품 전시회에 도착했다. 도착하고 풍경을 보니 러버덕과 도라에몽 풍선?이 세워지고 있었다.무지 귀여웠다!! 그리고 중국 박람회라서 그런가 무지 넓고 또 넓었다. 다 돌려면 5시간이 아니라 5일씩이나 돌아야 다 돌 수 있을것만 같았다. 나는 KOREA 부스에 가서 OO회사의 스텝으로 전시를 도왔다. 내가 도움이 되는 것이 없는 것 같아 시키는 건 열심히 했다. 그 회사 사장님이 하시는 말씀이 너무 인상적이었던 것은, 자기는 오는 사람 안 막고 가는 사람도 안 막는다고 올 사람들 즉 살 사람들은 어쨌든 산다고 손님에게 쩔쩔매지 않는다고 하셨다. 자신감이 넘쳐보이셔서 멋있었고 스스로도 그렇다고 하셨다. 사업을 일찍 시작하셔서 자수성가 힌신 것이 인생은 한방이라는 이야기도 있지만 그 분은 인생을 꾸준히 키우시는 기분이라 나는 반성을 느꼈다. 나는 인생에서의 한 방만 기다리고 있었기에. 노력도 하지않고 말이다. 그래서 너무 후회됐다. 노력을 하지 않는 자,복도 없다ㅠㅠ 열심히 살아야겠다. 외국분들이 많이 오셔서 통역 하시는 분이 고생이 많으셨다. 그리고 다른 부스의 아이디어 상품들도 인상 깊었다. 창의력이 대단했다. 역시 대륙은 생각도 크고 여러가지인 것 같다. 사업가분들께서 꽤 신경을 많이 쓰신 전시회라서 퀄리티가 엄청났다. 식당은 별로였지만..ㅎ 그리고 오늘은 통역사분의 도움을 받아 지하철로 티엔즈팡에 갔다. 기념품도 사고 무엇보다 꼭 사고 싶었던 수제 누가도 사고(피넛,초코,스트로베리!!) 기녕품도 샀다. 텀블러도 사려고 했는데 비싸서 못샀다.ㅠㅠ 그리고 지하철 상가에서 캔디랩의 유명캔디를 샀다. 캔디를 캔디 되기 전 엿 시절에 잘라서 모양을 넣어 그것을 캔디로 만든 것이라고 했다. 이렇게 완벽한 하루였지만 마지막에 택시를 탔는데 바가지 씌우는 택시기사를 만나서 조금 아쉬웠다. 그래도 오늘 하루는 보람찼다!!",3,,,,,
2128,"대학에 들어오고 25일이 지났다. 축하한다는 말을 듣고 앞으로 잘 하라는 말도 듣는다. 할 수 있을까? 라는 막연한 불안감에서 할 수 있다, 가 됐지만 현재는 언제나 불확실함의 연속이다. 재수생 시절 ‘나도 내 그림을 그리고 싶다.’ 라는 생각을 했는데 막상 대학 생활을 경험해 보니 오로지 그림만 생각할 수 있는 환경도 아닐뿐더러, 자꾸만 잘못 흘러가고 있다는 생각이 든다. 인간관계부터 과제, 내 작업, 생각해야 할 것들이 너무 많은데 자꾸 한쪽으로 미뤄두고만 있다.",3,,,,,
2129,"사람들은 대학생 때 인맥을 잘 쌓아 놓으라는 말들을 한다. 사람들이 자산이야, 술자리도 많이 가고 어울려야 해. 술자리도 싫어하며 사람들이 많은 곳이 힘든 나에게는 고역이다. 말주변도 없으며 뒤를 돌았을 때 ‘아, 그때 이렇게 말할걸.’ 하고 후회하는 사람이다. 언제 한번 내향성 인간에 대한 책을 읽은 적이 있는데 내가 딱 그렇다고 생각했던 것 같다. 필자가 말하길 내향성 사람들은 사람들과 어울릴 때 ‘외향성 흉내내기’ 트릭도 필요하다고 했는데 아마 굉장한 수련으로 갈고닦아야 할 것 같은 기분이 들어 조금 웃었다. 아, 나도 물론 친한 사람들 한정으로 외향적이게 되긴 한다. 그 낯가림의 연속들과 몇 개월 이상 부대끼고 해야 하는 일련의 과정들이 요즘의 나에게 조금 많이 피곤하게 느껴진다는 점이 조금은 그렇지만.",3,,,,,
2130,"실은 고등학교 1학년, 2학년, 3학년 모두 다 예외없이 껍데기만 남은 사람처럼 살았다. 왜인지는 모르겠지만 교복을 입는다는 사실 자체는 설_으나 재미는 없었다. 꼭 공허나 권태가 내 주위를 빙빙 돌다 가끔씩 내 명치께를 관통하는 것 같았다. 어떤 사건 없이도 꼭 그랬다. 사춘기라고 이름 붙이기엔 나는 그때와 별반 다를 게 없다. 물론 매일이 그랬던 건 아니었다. 남들처럼 웃고 떠들다가 그들에게서 뒤돌면 침잠하는 시간과 뚜렷하지 않은 생각들에 잡혀 있었던 게 조금 오래일 뿐이다. 내가 조금 달라지고자 했었던 때는 재수생 시절이었다. 불과 1년도 지나지 않은 시절이지만 그렇게도 멀리 있는 것처럼 느껴지는 것은 그때의 내가 지금의 나와 너무 다르기 때문일까. 나는 그때 반짝였고 꽤 야망적이었다.",3,,,,,
2131,"고등학교 삼학년 때는 야망은 있으나 실천하지 못했다. 학교에 붙잡혀 있는 시간이 길어질수록 물음표들만 늘어났었다. 남들은 전력질주를 하고 있는데 나만 가만히 서서 발끝에 채이는 돌덩이들을 발로 눌러 보거나, 툭툭 쳐 흙먼지만 만들어내며 달리지는 않는 그런 선수 같았다. 목표점을 모르니 당연하게 방황했다. 성실했지만 성실하지 않았다. 남들이 다 하고 있으니 흉내는 내야 했다. 결국 시험장에서 실수를 하고 떨어졌다. 학원의 모든 선생님들이 네가 뭐가 부족해 떨어지냐는 말을 내가 지나가는 길목마다 뱉어냈다. 그 말은 꽤 끈끈해서 재수를 시작하고 난 오 월 초까지 그 말들을 떼어내느라 고생했고, 아마 그때까지 실패했다는 생각과 제일 친한 친구의 성공으로 조금 힘들어했던 것 같다. 축하해주질 못할망정 왜 네가 힘들어하냐고? 진정한 친구는 친구의 불행에 슬퍼해주는 것이 아니라 성공에 진정으로 축하해주는 것이라는 말이 있잖은가. 나는 아마 진정한 친구는 아니었던 모양이다. 같은 대학에 지원했으나 친구는 붙고 나는 떨어졌다. 중앙대학교 1학년과 재수생의 차이.",3,,,,,
2132,"열심히 재수 학원에서 공부를 하다 때려쳤다. 그래, 이제부터 나는 수시파야! 그림에 올인한다, 는 생각을 가지고 했지만 모두 예비가 뜨는 참패를 겪고는 한동안 많이 울었다. 고삼 시절 정시에 떨어진 것보다도 더 많이. 믿었던 수상실적마저도 안 됐다. 수능 7일 전 모든 결과가 나와 어영부영 수능 준비를 하고 정시 준비를 시작했다. 같은 걸 그려도 매일 다른 시도를 했다. 이건 이렇게 해 보고 저건 저렇게 해 보자. 예전부터 학원 선생님이 내 그림은 기복이 심하다고 했었는데, 아마 내 감정 상태에 따라서 많이 좌지우지 되는 것 같았다. 시험이 의미없던 날도 있었고 학원을 나온 날이 무색하게 그림이 안 그려지는 날이 있었다. 매번 나는 나와 싸워야 했고 아마 그걸 보는 선생님은 나보다 더 복잡한 심경이었을 거다. 나와 싸우기도 버거운 하루였다. 그 하루 중 어느 시간에 계속 학원에 있으면 안 된다는 생각이 갑자기 들었다. 너무 힘들어서 몸이 아픈 척을 하고는, 학원 동생들에게 멀쩡히 인사하고 계단을 내려가면서부터 울음이 터졌던 날. 우리 집은 지하철 종점인데, 지하철 자리에 앉아서 계속해서 울었다. 사람들이 나를 힐끔거렸는지는 중요하지 않았다. 그저 그 날은 지하철에 나온 후 집으로 걷는 15분 동안도 계속해서 울었다. 울면서 밤하늘을 봤는데, 달은 아주 밝았고 아무나 좋으니 제발 살려달라고 빌었던 것 같다. 다행히 집에 왔을 땐 아무도 없었다.",3,,,,,
2133,"나는 생을 사랑하는 사람이다. 힘들어도 딱히 죽을 결심은 하지 않는다. 차라리 힘들면 힘들수록 좀 더 오기가 생긴다. 의미를 찾지 못하고 부유하는 부속물처럼 살 때 나는 이미 죽었다고 생각한다. 고등학교 1, 2, 3, 재수생 생활을 건너뛴 바로 지금이 그렇다. 다시 돌아온 것 같아서 요즘 모든 것이 희뿌연하다. 안개 속을 계속해서 걷는 기분이다. 같은 곳에서의 하루가 추가되는데 매일 적응만 하고 있다. 작년이 너무 치열해서 그랬던 건가?",3,,,,,
2134,대학에 들어와 필름 카메라 동아리를 들었다. 집에는 낡은 니콘 필름 카메라가 있는데 아빠도 엄마도 작동법을 잘 모른다. 언제나 사진은 찍고 싶었다. 과 내 동아리라는 것도 내 가입을 추진하는 데 한몫했다. 술자리에서 친해지는 것 말고 멀쩡한 상태에서 생각을 교감하며 친해지고 싶었다. 대학에 들어와 몇 안 되는 잘한 일이라고 생각하는 것들 중 한 가지다. 카메라를 수리하고 다음 주 일요일에 출사를 나가기로 했다. 대전에서 올라와 서울 지리를 모르는 나에겐 정말 좋은 일이 아닐 수 없다. 예쁜 풍경까지 합세하면 더욱이. 회식비로 인당 23000원 깨지는 돈이나 선배들과 처음 만났을 때의 그 어색함과 정적 같은 것들을 제외하면 말이다.,2,,,,,
2135,"사회는 도전하라 말한다. 그것이 청춘이 가지고 있는 젊음이라는 무기이고 자산이라고, 실패하면 일어서면 된다고. 하지만 어떤 실패는 사람을 아주 회생 불가하게 만든다. 모든 기력을 소진해서 삶을 살고 있는 사람에게 도전하라 말한다면 그것은 학대에 지나지 않는다. 내가 누군지 알아야 나를 위해 살 수도, 도전할 수도, 실패할 수도 있는 거다. 나는 아직 내가 누군지 모르고 무엇이 날 위해 옳은 일인가에 대한 확신도 없다. 하지만 뜬구름만 잡고 싶지 않다. 나를 변화시키려고 했던 과도기를 겪었지만 다시 제자리이다. 변화들에 민감하고 작은 것에 필요 이상으로 신경 쓰지만 커다란 것엔 오히려 무감각한 편이다. 스스로의 감정에 크게 휘둘려 앞뒤옆의 구별을 제대로 못 하는 것 같다.",3,,,,,
2136,"그럴듯한 변명일 수도 있겠지만 이 끊임없는 감정들의 물음에서부터 예술은 시작됐다고 단언할 수 있다. 창조를 위한 과정은 고달프며 무언가를 만들어내는 일은 힘든 일이다. 정신적으로 많은 힘이 들며, 내 선조들이 그랬고 앞서 예술적으로 무언가를 이룬 사람들이 그랬다. 난 계속해서 어떤 질문을 추궁한다면 끝내 답이 나올 것이라 믿는다. 도처에 이것이 ‘정답!’ 이라고 마빡에 붙여 침을 튀기며 열변하지만 그것은 답이 아니다. 나에게 맞는 정답이 있다. 나에게 맞는 옷이 있듯이 나의 삶에 맞는 ‘답’이. 각자의 삶에 답이 있는 삶을 원한다. 더 이상 허무와 권태에 이끌려 다니는 삶은 원하지 않지만, 그것이 내 정답을 알 수 있는 길의 필수적으로 거쳐야 하는 과정이라고 생각한다.",3,,,,,
2137,한달전부터 예약한 딸기 애프터눈 티파티에 가는날이다!,2,,,,,
2138,사진을 보니 꽤 맛있고 은근히 양이 되는거 같아서 무진장 기대중이다.,2,,,,,
2139,얼마나 기대되냐면 양이 적은편이라 잘 못 먹으니까 일부러 점심을 조금 먹고 갈 정도!,2,,,,,
2140,한시간정도 걸려서 가는거지만 까짓거 맛있는 딸기 디저트를 위해서라면 감수할수 있다구.,2,,,,,
2141,얼른 도착했음 좋겠다. 친구랑 오랜만에 만나는거라 그것도 기대되구 끝나고 집 갈때 딸기도 사가야지! 만약 별로였다면 딸기를 먹고 달래기 위해 좋았다면 그 느낌을 되새기기 위해서라도 꼭 살거야!,2,,,,,
2142,지금은 지하철을 탔다. 이제 약 1시간 뒤 호텔에 앉아서 먹는거야 으 벌써 너무 기대된다,2,,,,,
2143,"사람은 너무 쉽게 딜레마에 처하는 것 같다. 이런 생각을 하고 곧바로 딜레마라는 단어를 구글로 검색해보았다. '선택해야 하는 길은 2개 뿐인데 그 어느 쪽도 바람직하지 못한 결과를 초래하는 현상.' 긍지라는 말로 순화해서 쓸 수 있다고 한다. 내가 소스를 소수라고 써서 그 단어를 손보아야 할 때, 화이트를 써도 흔적이 남고 두 줄을 긋고 다른 글자를 써도 흔적이 남는다. 이 또한 사소한 딜레마가 아닐까? 신중한 선택을 처음부터 해서 딜레마에 처하지 않는 게 당연히 가장 좋은 일일 테다. 그러나 선택은 우리의 생각을 고려해주지 않는 재앙이 아닌가. 어떤 방법이 그나마 괜찮은 것인지 끊임없이 생각하고, 뒤처지거나 포기하는 일 없이 꾸준히 노력하는 것만이 더 나은 무언가를 만들어 나가겠지? 인생은 온라인에 떠도는 텍스트와 같이 백스페이스를 눌러서 입맛대로 바꾸어 쓸 수 없는 것이다. 신중하면 신중할 수록 좋은 결과를 얻을 수 있겠지. 제발 생각을 거치지 않은 섣부른 행동을 하지 말자.",3,,,,,
2144,해야 한다고 믿었던 것. 나의 의무는 계속 변화하고 있어 더 혼란스럽다. 의무라 생각했던 것들이 의무가 아니었고 의무여야 하는 것을 지키지 않아도 내 인생이 무너지지 않는다. 나의 신조가 무엇인가? 무엇이 옳은가? 지금의 나에겐 조금 더 멀고 장기적인 고민 같다.,3,,,,,
2145,"해야 하는 것을 ""왜 해야 하는가""를 모색하는 것 또한 이번 상담의 목표였으나 장기전이 될 것 같다. 아직은 생각해 둔 베이스가 없고... 여전히 이유도 동기도 없어 쉽게 무기력해지고 집중력을 잃는다.",5,,,,,
2146,지금 내 수준에서 할 수 있는 것은 내가 나를 인정하는 것 정도. 나는 원래 이런 사람이고 나의 이런 점도 나쁘지 않다고 생각해. 이건 내 버릴 수 없는 성정이고 이런 나는 누군가에게 힘이 되고 도움이 되지. 내가 이렇게 굴기도 하지만 사람이 어떻게 완벽해. 나는 이 정도만으로도 충분히 사랑할 만하고 또 나는 나를 사랑해야지. 왜 나마저 나를 엄격한 잣대로 판단하고 그래. 내 기대만큼 남들은 나의 노력을 알아 주지 않는다잖아. 나는 전부 알아 주고 또 아껴 줘야지. 사랑해야지. 그래야 살아 가지. 더 많은 걸 배우고 또 자랄 수 있지. 그런 면모는 내가 가장 사랑하는 나의 무언가잖아. 끊임없이 나를 사랑해야 한다. 더 많이 봐줘야 한다. 지켜 주고 따뜻한 눈길로 바라봐 줘야 한다.,1,,,,,
2147,가만히 앉아 되짚어 보니 인생에 사람이 없었던 적이 없다.,3,,,,,
2148,가랑비에 젖듯이 일상 속에 침투하는 것들을 경계해왔다고 생각했다.,3,,,,,
2149,관계에 너무 목매며 살지 말자. 매번 마음 속으로 다짐해 왔는데도 늘 이렇다.,3,,,,,
2150,사람은 사람 없이 살 수 없게 태어난 생물이라는 말이 들었다. 내 모습이 딱 그 짝인 것 같다.,3,,,,,
2151,앞으로 수많은 점들과 만나고 헤어지고를 반복하며 미래의 내가 이어갈 선도 지금과 다를 바가 없을까?,3,,,,,
2152,왜인지 외로워진다.,4,,,,,
2153,인생에 사람이 없었던 적이 없는데 말이다.,4,,,,,
2154,"아 참, 아침 출근길 지하철에서 본 일본인 회사원 그룹의 한 아저씨가 목소리도 좋으시고 눈코입이 동글동글한 게 애교 있게 참 잘생기셨다. 객차가 만원이라 코앞에 계셨는데 주름이 살짝 있는 것 빼곤 얼굴 피부가 정말 좋아서, 피부의 중요성을 한 번 더 느꼈다. 일본인들이 일본어로 대화하는 것을 듣고 있자니 일본어 공부도 다시 조금 하고 싶어졌다.",2,,,,,
2155,선택을 하는 것은 어렵다. 이것을 택할지 저것을 택할지. 결과가 두려운 걸 수도 있고 욕심이 많아 하나를 놓치기 싫은 걸 수도 있다. 어쨌든 내가 선택한 일이니 그것이 어떻게 되든 책임은 나에게 있다. 그래서 선택을 할 때 타인의 도움을 받을 수 있지만 결국 마지막 선택은 내가 해야 한다. 괜히 엄한 사람을 원망하지 않도록.,3,,,,,
2156,선택을 못한다는 것은 좋게 말하면 신중하다는 것이고 나쁘게 말하면 우유부단하다는 것이다. 신중한 것은 좋지만 고민하는 시간이 너무 길면 안 된다.,3,,,,,
2157,"소설에 많이 나오는 단골 소재. 내가 만약 다시 어린 아이로 돌아간다면? 음, 몇 살로 돌아가볼까? 5살? 내 가장 어린 기억은 6살인 것 같다. 유치원에서 친구들과 잘 못 어울려서 슬펐던 기억이 난다. 사실 초등학교 2학년까지도 사교성이라곤 눈꼽만큼도 없었는데! 무슨 생각을 하고 살았는지 궁금하다 하하 다시 살게 되면 어린이일 때 더 많은 걸 해보고 배우고 싶다. 특히 운동! 난 내가 몸이 둔해서, 놀림 받는게 싫어서, 내가 못하는 것에 내 자신감을 잃어버리게 되서 등등의 이유로 운동을 거의 하지 않았는데, 다시 돌아간다면 뜀박질도 열심히 하고, 수영도 꼭 배우고 싶다. 지금의 기억으로 뭔가 대단한 것을 해보기엔... 아는게 많이 없는 것 같고 그저 더 많은 것을 배우고 도전하고 싶은 생각이 가장 크다.",2,,,,,
2158,"시간이 정말 빠르다. 아무것도 하지 않고 시간이 훌쩍 지난 것 같다. 하지만 난 나름대로 열심히 병원도 다니고 촬영도 하고 살았다. 아무것도 하지 않았다고 느끼는 이유는 보통의 사람들과 다른 삶을 보내서 그런걸까. 의미없이 시간을 보내고 있다고 생각하고 있어서 그렇게 느끼는 것 같다. 하지만 나도 나대로 병은 안낫지, 의욕도 점점 줄지, 스트레스라고 느낀다. 이런 상태에서 밖에 나가고 사람을 만나고 하니 내가 더 못난 사람이라고 생각하는 것 같다. 하지만 난 원래 자존감이 낮은 사람인걸. 자신에 대해 생각하고 있는게 부정적인 부분만 생각되는건 내가 예전부터 그랬던 사람이라 어쩔 수 없어. 횡설수설 하는것도 난 원래 그랬는걸. 아니 점점 갈수록 커뮤니케이션이 힘들다. 그래서 사람들이 여러명인 곳에서 끼어있기 힘들어. 전에도 그랬지만 요새는 더 그런 것 같다. 원래 낯을 좀 가리긴 하지만 그래도 몇번 본 사람은 편하게 대할 수 있다고 생각했는데. 내가 낯을 가리는게 아니라 사람을 가리는걸까. 특히 어려워 하는 사람이 있는걸까. 이런 모습이 나조차도 낯설어서 그런 상황에 놓이게 되는걸 더 꺼려하는 것 같다. 나의 모자라고 부족한 모습을 남에게 보이는게 싫어. 정말 내가 생각했던 싫어하는 인간군상에 내가 가까워지는 느낌. 이래서 자기혐오를 멈추지 못하는걸까. 한순간의 우울은 견딜 수 있다고 생각했는데 모아보니 견딜 수 없는 우울함이 됐다. 전부 시간이 지날수록 축적되고 있었어. 앞으로 어떻게 나아가야할지 모르겠다. 이렇게 아무것도 아닌채로 계속 지내야 하나? 어떻게 해? - 지금 생각해보니 생리 전임. PMS때문에 이렇게 씀.",3,,,,,
2159,지금 나는 23살이고 주변 친구들 중에 운전면허를 딴 사람들이 꽤 있기도 하다. 이 사람들은 종종 차를 렌트해 놀러가자고 하는데 나는 내 또래가 모는 차를 타는 게 아직 무섭다.. 맨 처음 친구가 몰았던 차를 친구의 어머니와 같이 탄 적이 있는데 난 뒷자석이었다. 어느 평탄한 길에 들어섰는데 친구네 어머니가 여기서는 그냥 쭉 직진만 하며 가면 된다고 하셨고 친구는 그렇냐고 하고는 신호등 마저 안 보고 달리다가 정말 아찔하게 사고가 날 뻔한 적이 있었기 때문이다. 나는 정말 이렇게 죽을 수도 있겠다라는 생각을 처음 했다. 그 후로 초보자가 모는 차에 타면 몸이 경직되는 걸 느낀다. 내가 운전한 것도 아닌데 다음날 어깨가 아프고.. 다른 사람들이 면허 안 따냐고 물어보는데 이렇게 겁부터 먹어서 면허 딸 생각이 들긴 할까 싶다.,3,,,,,
2160,"오늘은 별 것 아닌 목요일이다. 유투브 라이브를 틀어두고 깨작깨작 일기 쓰고 있다. 4일만의 일기이다. 유투버분이 가르마를 참 예쁘게 타는 것 같다. 내일 도서관에 갈 예정인데 저렇게 가르마를 타봐야겠다. 일부러인가 우울이 심한 댓글에는 반응을 안해주는데 역시 개인의 우울은 타인이 감당하기에 버거운가보다. 이 우울감을 소중한 사람들에게 절대 보여주지 말아야겠다. 요즘은 스케쥴대로 인생이 차곡차곡 흘러가지 않아 걱정이 많다. 언제까지 기초만 다지면서 이 수준에 머물러 있고 싶은건지... 나 자신이 부끄럽다. 그 와중에 게임 반값 이벤트 때문에 하루종일 게임만 하고 있다. 나는 정말 부끄러운 존재구나. 최애 픽업까지는 앞으로 3달 정도! 급하게 알바를 구하러 다니긴 했다. 먼저 연락이 오는 곳에서 일해볼 생각인데, 한군데라도 연락해주었으면 좋겠다아... 알바 자체가 처음인데다 최근에 살도 많이 쪄서 나를 써주는 곳이 있을까 진심으로 걱정된다. 알바 걱정으로 밤 샐 것 같다. 드럭스토어라서 간식타임도 있고 소소한 유니폼도 있던데 꼭 해보고 싶다. 최애를 위해 힘내자. 돈이 많이 모이면 떳떳하게 여행계획도 세울 것이다. 가고 싶은 곳이 많다. 알바에 붙으면 나를 다시 사랑하게 될까? 그랬으면 좋겠다.",2,,,,,
