lyrics;emotion
"I feel like I've lost myself I've forgotten 잊고 있었던 나 자신을 잃어버린 것 같아";"5"
"Yeah, you'd be acting like a fool 그래, 너는 바보처럼 굴겠지만";"3"
"I don't think I can handle 내가 감당할 수 없을 것 같아";"3"
"Feeling like I'm losing myself for what I love no 사랑하는 것 때문에 나를 잃어가고 있으니까";"5"
"And though that we're done 너와 난 이미 끝났지만";"5"
"Things still reminding me about us 여전히 우리를 떠올리게 하는 것들";"0"
"Remember all that we've done 우리가 함께 한 모든 걸 기억해 줘";"0"
"I think I'm done with our love 우리 사랑은 여기까지만이야";"5"
"We're better alone 이제는 혼자 있는 게 나아";"1"
"I know that we are better off alone 우린 혼자라도 괜찮을 거야";"1"
"I know that I am better on my own 난 그럴 거라는 걸 알아";"1"
"I'm missing all our love 우리 사랑이 그립겠지만";"0"
"But I should give this up 여기서 그만둬야 할 것 같아";"5"
"I'm better off now that we are alone 이제 혼자인 게 더 행복하니까'";"1"
"Always on my mind 난 자꾸 네가 떠오르곤 해";"0"
"알고 싶은 게 많아 너에 대해서";"2"
"넌 지금 누굴 생각하고 있어";"0"
"가볍게 던지는 말들에 의미부여하고";"2"
"괜히 혼자 설레서 또 아무 말 못 하고";"2"
"날 가지고 놀아 또 들었다 놨다";"3"
"Make me feel so right oh 네 곁에 있고 싶어";"1"
"특별하고 싶어 365일 내가 네 자랑이고 싶어";"1"
"You're always on my mind But nothin's gonna matter if you never hit the room yeah";"4"
"Girl I'll be waiting for you";"1"
"Feels like I'm the one yeah Got me trippin' on your mind yeah";"1"
"I'm feeling butterflies with your smile";"2"
"Feels like I'm the one yeah Girl I would never let you down";"1"
"Babe all the things you do just got me Swimmin' in your eyes yeah";"1"
"Oh Roa Roa Roa I could be the one to love ya love ya love ya";"1"
"Oh Roa Roa Roa Know you're feeling it girl Don't lie don't lie don't lie";"6"
"Roa 내게 말해줘 너도 같은 생각 한다고";"0"
"너와 내가 밤새껏 주고받던 말이 진심이라고";"1"
"너의 눈빛에 나오지 못해 나를 닮은 듯한 그런 느낌의 fashion에 또 배여있어";"2"
"네 귀여운 행동에 빠져버렸어";"1, 2"
"너 없인 모두 무채색 널 만나면 마치 강아지처럼 기분이 들떠 있지";"1"
"시키는 대로 다 해줄게 원한다면 교육해도 돼 주입식";"1"
"Need you on my side 내 옆으로 와 숨기지 못할 것 같아 더 이상 또 어린애 같아";"1"
"내 손을 꽉 잡아줘 Falling for you girl would you let me";"1"
"Be your sweet Now baby tell me 어떤지 Baby";"질문"
"Feel like I'm the one 이제 그만 내게 다가와 줄래 babe 더 사랑해 줄게";"1"
"Feels like I'm the one yeah Got me trippin' on your mind yeah";"1"
"I'm feeling butterflies with your smile";"2"
"Feels like I'm the one yeah Girl I would never let you down";"1"
"Babe all the things you do just got me Swimmin' in your eyes yeah";"1"
"Oh Roa Roa Roa I could be the one to love ya love ya love ya";"1"
"Oh Roa Roa Roa Know you're feeling it girl Don't lie don't lie don't lie";"6"
"Girlfriend is on the car We good say the lie You push 오늘만 You talk 나를 오빠라고";"6"
"Girlfriend is on the party We should say the love You push 오늘만 You talk 나를 오빠야";"6"
"둘이서 바로 We can 둘이 서봐도 We good You need somebody I wish you yeah";"1"
"꿈에서 봐도 We can 둘이서 바로 We good You need somebody I wish you Say";"1"
"Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"Girlfriend is under party We good say the lie You push 오늘만 You talk 나를 오빠라고";"6"
"Girlfriend is on the car We should say the love You push 오늘만 You talk 나를 오빠야";"6"
"둘이서 바로 We can 둘이 서봐도 We good You need somebody I wish you yeah";"1"
"꿈에서 봐도 We can 둘이서 바로 We good You need somebody I wish you Say";"1"
"Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"Cause you Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"This talk about Dance Shoot the movie Oh When she's got them movin' Oh We got the movie Oh Yeah";"6"
"Girlfriend is on the party We good say the lie You push 오늘만 You talk 나를 오빠라고";"6"
"우리 매번 같은 시간에 있다는 거 시간을 보면 네가 내 안에 그려져"; 1, 2
"같이 있어도 너만 생각할게 take the time you been on mind on mind"; 1, 2
"우리의 여행을 기다리면 늦게 가 너와 마주 보면 다시 또 빨리 가 (what time is it?)"; 1, 2
"널 만나고 나의 모습은 온전히 진심으로 채워져"; 1
"지금 흘러간 1초도 조금만 천천히 (이 시간 천천히)"; 6
"이제는 맘 편히 we should sunset swimming 나 너무 행복해"; 1
"텅 빈 시간엔 내 맘은 가득 지금 너의 목소리로 전부 채워져 uh"; 1
"오늘 밤은 소리에만 집중 like ATC 시간이 벌써 이렇게 no"; 6
"일어나면 꿈을 꿔 when i look at rose 내 옆에 있어줘"; 1
"물은 내가 줄게 마음껏 약속해 i swear 나눠줘 너의 시간"; 1
"다가올 이 시간은 천천히 조금만 천천히"; 6
"이제는 맘 편히 (이제는 맘 편히) we should sunset swimming 나 너무 행복해"; 1
"조금만 천천히 이제는 맘 편히 we should sunset swimming 나 너무 행복해"; 1
"말로 설명 못해 이 감정은 더욱더 이야기는 참 길고 설명이 더 필요해져"; 6
"인생엔 기회가 딱 열 번이라면 고민 없이 너에게 열번 다 쓰고 싶을 정도야"; 1, 2
"따스한 햇살 시원한 바람 불면 오후에는 낮잠 그거면 됐는데"; 1
"따스한 햇살 시원한 바람 불면 기다렸단 듯이 널 마음에 담고 있어"; 1, 2
"저 하늘의 별들 그 사이로 떴던 달도 괜히 더 새로워져 다행이지 Everything is bright"; 1
"태연하게 점점 표현하게 돼 점점 더 정신없이 굴어도 다행이지 매일 너에게 말하고 싶어"; 1, 2
"일개미처럼 runnin and runnin' 일에 미쳐선 나에겐 머리 식힐 거리 따윈 없었고"; 3
"사회적 거리를 두었어 그런 날 일깨우고 햇살이 좋다며 말해주고 맘 편히 모든 것은 paid off"; 1
"잊지 못해 그때의 기억을 아침에 또 생각해도 니 생각에 잠을 오늘도 설치고 있어"; 0, 5
"내 타이밍은 좀 달라도 내 기회를 네게 줄게 어딜가도 내 맘속엔 너 뿐인데"; 1, 2
"저 하늘의 별들 그 사이로 떴던 달도 괜히 더 새로워져 다행이지 Everything is bright 태연하게 점점 표현하게 돼"; 1
"점점 더 정신없이 굴어도 다행이지 매일 너에게 말하고 싶어 괜히 더 새로워져 다행이지 Everything is bright"; 1
"태연하게 점점 표현하게 돼 점점 더 정신없이 굴어도 다행이지 매일 말하고 싶어"; 1, 2
"Let’s go drive 어서 나와 오늘은 어디로 떠날까 집 앞이야 바로 나와 Beige coat 보이면 나야"; 1, 2
"눈을 떠보니 벌써 시간이 됐어 멋진 옷을 고르고 Wake up babe 잠든 널 깨우고서"; 1
"하루 종일 나 Say la la la every time 나도 이렇게 될 줄은 꿈에도 몰랐었어"; 1, 2
"Look at my eyes 지금 나와 나 다 와가 5분 뒤에 도착해 어디 갈까 넓은 바다"; 1, 2
"하고 싶은 게 있으면 말만 해 넌 네가 얼마나 예쁜지 몰라서 다른 남자들이 쳐다봐도"; 1, 2
"넌 아무것도 모르고 있어 아무것도 모르고 있어 Baby sorry 나 좀 늦었지"; 1, 2
"가까운 빵집에 들렀어 뭐 할래 영화 보러 갈까 너라면 다 nothing at all Maybe"; 1, 2
"여태까지 이런 적이 없는데 널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야"; 2
"Beige coat 보이면 나야 어디든 상관없어 내 옆에 타 좋아하는 걸로 틀어줘 음악"; 1, 2
"네가 옆에 있어 집중이 안 돼 너의 취향 아니 모든 게 궁금해 알고 싶어"; 1, 2
"네가 좋아하는 향 담엔 미리 준비할게 난 tea 넌 아아 내 오른손과 네 왼손"; 1, 2
"끄떡없을 거야 right Baby sorry 나 좀 늦었지 가까운 빵집에 들렀어 뭐 할래"; 1, 2
"영화 보러 갈까 너라면 다 nothing at all Maybe 여태까지 이런 적이 없는데"; 1, 2
"널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야 Beige coat 보이면 나야"; 2
"I’m wearing beige beige beige coat I’m wearing beige beige beige coat Maybe"; 1
"여태까지 이런 적이 없는데 널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야"; 2
"Beige coat 보이면 나야"; 1, 2
"너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해"; 1
"너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에"; 1
"Babe I wanna make love to you 이젠 내가 하는 네 말투 분홍잔의 여유는 마음으로 내가 제일 자주 하는 말 Come thru 편히 At your pace 너와 나란히"; 1
"Got a little space에 널 가만히 Goofy it be nice Add a lil spice No I dont need nobody else but you You dont need nobody else but me 이건 간단해 마냥 더하기에 다 알기에"; 1
"너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해"; 1
"너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에"; 1
"가끔 한숨 섞인 질투가 보여 걱정하지마 넌 내 마음이 보여 Baby you know how long I been on ya Ups and downs 해도 다리가 놓여"; 1
"좋아 어디든 뭘 하던 내 옆에 I let you be the boss all you gotta do is take 내가 무언가를 바랄 때 너도 같이 웃을 수 있게"; 1
"다 하나 하나 다 벗어던져 Talkin bout 가식 왜 베개를 던져 너가 늘 먼저 할게 많아도 늘 너에겐 넘쳐"; 1
"너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해"; 1
"너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에"; 1
"Baby 넌 멀리서 봐도 한눈에 들어와 Uh 열심히 꾸민 다른 애들과는 수준이 달라 Uh yeah"; 1
"아침부터 널 만날 생각에 Baby 정신없이 나왔지 Yeah 그치만 네가 좋아하는 Fashion 잊지 않고 나왔지 Ay"; 1
"언제나 날 바라볼 때 웃어주는 네가 있어서 다행이야 다행이야 I just wanna stay with you baby"; 1
"언젠가 우리 마주 볼 땐 그때도 내 여자이길 약속해 Baby 약속해 I pray for the day"; 1
"My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar"; 1
"너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금 일 끝나면 전화해 오늘 일은 어땠는지 알아야 해"; 1
"자기 전엔 네 목소릴 들어야 하루를 깔끔하게 마친 기분이야 알다시피 너 하나만 보고 있어 Cause your my baby I'm sure girl"; 1
"꼭 옆에 있는 것만 같으니까 좋아 언제나 날 바라볼 때 웃어주는 네가 있어서 다행이야 다행이야 I just wanna stay with you baby"; 1
"언젠가 우리 마주 볼 땐 그때도 내 여자이길 약속해 Baby 약속해 I pray for the day"; 1
"My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar 너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금"; 1
"지금 지금 나와 같은 생각을 하고 있다면 아무말 하지 말고 내게 안겨 Um yeah"; 1
"만약 내가 바빠서 연락 못하면 우리사이가 멀어질까 혹시나 걱정하고 있다면 Woo baby 이 노랠 기억해"; 1
"My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar 너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금"; 1
"난 애가 타 평생 나만 바라보겠다는 말은 가짜 같아 Yeah 나 불안해 다른 남자들에게 그런 웃음 짓지 마"; 3, 5
"불안하니까 Baby 어딜 가나 Look look look 내 시선은 너만 Loop loop loop"; 1, 3
"온 매력들을 내뿜어 넌 하지 말라고 숨어 난 지금 너를 찾는 중"; 1, 3
"음음 전화 연결음 뚜뚜뚜 Yeah 이건 사랑이야 정말 어떻게 해야 하니"; 1
"널 자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah 오늘은 내 곁에 있어줘"; 1, 3
"Baby come on what you want yeah 너만 원함 모든 해"; 1, 2
"옷을 말끔하게 갈아입고 거울을 보며 손짓해 술을 따라 마셔보고 나도 모를 눈빛을 하고"; 1
"나의 침대맡엔 베개 두 개 하루 종일 연습을 해 Yeah 거울을 보며 용기를 내 Oh 네잎클로버 같은 널 가만둘 순 없어"; 1, 2
"이건 사랑이야 정말 어떻게 해야 하니 널 자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah"; 1, 3
"오늘은 내 곁에 있어줘 때론 네게 화를 내며 다신 안 볼듯해도 진심이 아니란 걸 너가 제일 잘 알면서"; 1, 3
"너와 멀어지는 건 내겐 악몽이야 Girl 헤어지기 싫다고 이건 사랑이야 Girl"; 1, 5
"자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah 오늘은 내 곁에 있어줘"; 1, 3
"반짝이는 너를 바라보다 웃어주면 나는 두근거려"; 1, 2
"너의 옆에 있는 시간이 내게는 꿈같아 맞아 우리 엄청 웃었잖아"; 1
"너도 내가 계속 생각날까 웃는 얼굴이 떠오르면 난 그냥 좋은가 봐"; 1
"음 눈을 마주치면 난 하얀 숲을 그리게 돼 쓰다듬 듯 해님이 쏟아져"; 2
"머리를 작게 뉘어보자고 자연히 반짝이는 너를 바라보다 웃고 마는 나는 설레어"; 1, 2
"너의 옆에 있는 시간이 내게는 꿈같아"; 1
"오늘 너 같지 않아도 내일은 다를 거니까 비가 내려와도 또 맑아질 테니까 너는 내 곁에만 있어주면 돼"; 1
"가끔은 그런 생각이 들곤 하겠지 그럴 때마다 네게 말해줄게 내일이 밝지 않아도 난 괜찮아 서로 마주하고 웃을 수 있으면"; 1
"내일이 맑지 않아도 너와 함께 한다면 그럼 내게도 행복이 온 거야 Back in the days 밤새 주고받았던 사랑의 말들이 이제는 한없이 부족한 걸 oh"; 1, 5
"때론 농담 섞어서 장난도 쳐 하룰 보내도 벌써 보고 싶어 네게 전활 걸어 그래도 우린 함께 오래 있을 거니까 우리는 No need to worry 내 맘은 이런데 넌 어떤 맘인지"; 1
"내일이 밝지 않아도 난 괜찮아 서로 마주하고 웃을 수 있으면 내일이 맑지 않아도 너와 함께 한다면 그럼 내게도 행복이 온 거야 So baby don't worry 언제나 내가 있을게 너의 옆에서"; 1
"내일의 우린 변하게 되고 조금씩 달라지지만 누구보다 널 위하는 나를 넌 알고 있어줘 내일이 밝지 않아도 난 괜찮아 서로 마주하고 웃을 수 있으면 내일이 맑지 않아도 너와 함께 한다면 그럼 내게도 행복이 온 거야"; 1
"Here I am Running round in circles Facing this again Saying things Like I’m truly sorry Ain’t no good revenge"; 3
"I thought we were getting somewhere, lately I see that you don’t seem to care Let me draw it out for you"; 3, 5
"It never ends, running in circles Never ends, circles Now I’m lost and I’m searching for you baby"; 4, 5
"I wish I kept an eye On you closer I thought we were getting somewhere, lately I see that you don’t seem to care, anymore"; 3, 4, 5
"It never ends, running in circles Never ends, circles It never ends, running in circles Never ends, circles"; 3, 4
"Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin"; 1
"Here we go (Here we go) Here we go (Here we go) Here we go, here we go, here we go"; 1
"I was in your wet dream, driving in my car Saw you at the side of the road, there's no one else around"; 0
"You're touching yourself, touching yourself, touching your? Touching yourself, touching yourself"; 0
"You said, 'Baby, do you want to comе home with me? I got Buffalo '66 on DVD'"; 1, 2
"I was in your wet dream, driving in my car What makes you think you're good enough to think about me"; 0
"When you're touching yourself, touching yourself, touching your? Touching yourself, touching yourself?"; 0
"You climb onto the bonnet and you're licking the windscreen I've never seen anything so obscene"; 0
"It's enough to make a girl blush It's enough, it's enough to make a girl blush"; 1, 2
"It's enough, it's enough, it's enough, it's enough It's enough, it's enough, it's enough, it's enough (To make a girl blush)"; 1, 2
"Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin Here we go (Here we go) Here we go (Here we go) Here we go, here we go, here we go Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin"; 1
"Ooh ooh ooh oowioo Bang my line bang my Ooh ooh ooh oowioo"; 1
"Started as a friend Can't seem to make a move Don't know what to send to you"; 0, 2
"I was waiting for a feeling I won't ever even show And you could be misleading and You'd never even know"; 1, 2
"Bang my line Take your time but don't forget to Bang my line Take your time but don't forget to"; 1
"Not really thinking 'bout the future And the repercussions Where the topic is to ride it out Without any discussion"; 3
"Crazy now you see the balance fall I keep it very sweet Twenty feet above the street Windows down and cherry seats"; 1
"Denim pants and dirty tees Never been the one That's tried to take it slow oh yeah You could be misleading And you'd never even know"; 2, 3
"You know I been waiting for it Hit the line and bring the foreign Make sure all the seats imported"; 1, 2
"Read receipts it ain't important If the energy's in orbit Get the dunk I'm speaking Jordans"; 1
"It ain't a map of the numbers behind us You know yeah you know yeah you know Where it goes Bang my line Take your time but don't forget to"; 1
"그렇게 시간은 흘렀고 어느새 나도 모르게 너에게 벗어나 혼자 서게 되었어"; 5
"어쩌다 보니 난 널 조금씩 잊어가고 있던 거야 멈추지 않을 듯한 아픔 속에서"; 5
"그게 어쩌다 보니 난 널 서서히 버려 내고 있던 거야 이렇게 살다 보면 지워지겠지"; 5
"어찌하다 보면 다 일부러 정신 없이 살았어 아무렇지 않은 척해도 혼자 있을 때면 너무 생각나서 Oh no"; 4
"일부러 괜찮은 척 웃었어 웃다 보면 괜찮을까 봐 그러다 보면 정말 웃을 수 있을까 봐 Oh no"; 4
"그렇게 시간은 흘렀고 어느새 나도 모르게 너에게 벗어나 혼자 서게 되었어"; 5
"어쩌다 보니 난 널 조금씩 잊어가고 있던 거야 멈추지 않을 듯한 아픔 속에서"; 5
"그게 어쩌다 보니 난 널 서서히 버려 내고 있던 거야 이렇게 살다 보면 지워지겠지"; 5
"어찌하다 보면 결국엔 상처가 아물어 버릴지 몰라 전혀 몰라 다 괜찮아질 거야 I don't need you"; 5
"어쩌다 보니 난 널 조금씩 잊어 가고 있던 거야 멈추지 않을 듯한 아픔 속에서"; 5
"그게 어쩌다 보니 난 널 서서히 버려 내고 있던 거야 이렇게 살다 보면 지워지겠지 어찌하다 보면 다"; 5
"우리가 처음 마주친 순간 내게 들어온 떨림 그때는 뭔지 나는 몰랐어"; 2
"햇살이 붉게 물드는 창밖 저녁노을의 끝에 자꾸만 걸려 너의 얼굴이"; 1
"반짝이는 너 흐트러진 나 환상적인 흐름이야 어쩐지 워어 느낌이 달라 워어"; 1, 2
"눈뜨는 아침이 워어 이렇게 빛나"; 1
"생각해 생각해 생각해 봐도 우리 마주치던 순간에 와 나는 분명하게 기억해"; 1
"워어 결정적인 찰나 후우우우 후우우우 후우 반짝이던 찰나 후우우우 후우우우 후우"; 1, 2
"재미없기로 소문났었던 내가 썰렁한 말에 실없이 웃고 많이 들뜨네 봐봐 모두들 멋쩍은 눈빛 나조차 적응이 안 돼"; 1
"사람의 일은 알다 모르지 반짝이는 너 흐트러진 나 환상적인 흐름이야 어쩐지 워어 느낌이 달라 워어"; 1, 2
"낯설은 세상이 워어 너 혼자 몰라 생각해 생각해 생각해 봐도"; 1
"우리 마주치던 순간에 와 나는 분명하게 기억해 워어 결정적인 찰나 후우우우 후우우우 후우 반짝이던 찰나 후우우우 후우우우 후우"; 1, 2
"할 말이 끊기고 가까워질 때면 농담이나 툭툭 화제를 돌리고 돌리며 할 얘기가 넘치는 척 여유 부리는 척"; 1
"너의 집 근처에 가까워질 때면 다른 길로 빙빙 핸들을 돌리고 돌리며 길눈이 좀 어두운 척 괜히 헤매는 척"; 1, 2
"반짝이는 너 흐트러진 나 환상적인 흐름이야 어쩐지 느낌이 달라 묘했던 기분을 이제는 알아"; 1, 2
"허튼 마음 같은 건 먹지 못해 난 우리 마주치던 순간에 와 나는 분명하게 기억해"; 1
"워어 결정적인 찰나 후우우우 후우우우 후우 반짝이던 찰나 후우우우 후우우우 후우 그렇게 빤히 날 바라다볼 때면 머릿속이 윙윙 진정해"; 2
"침착해 침착해 지금 나는 어지러워 너무 어지러워"; 2
"They say there's no such thing as a bad trip But if there's no such thing Then tell me what the hell just happened"; 3
"'Cause it was worse than I imagined Two tabs only 7 hours later"; 5
"I cried and I screamed You were laying next to me But you didn't cry 'Cause you already cried Through that whole night yeah"; 5
"I just wanna die sometimes Don't let me die in the dark"; 5
"Don't let me die in the dark Don't let me lose my mind 'Cause it's falling apart Yeah it's falling apart yeah it's falling apart It was a real bad night"; 5
"Thought that I was God guess not 'Cause I woke up feeling like shit Got the whole thing wrong Should have seen it all along"; 3, 5
"Felt my ego die but I guess it's too strong I cried and I screamed You were laying next to me But you didn't cry 'Cause you already cried Through that whole night yeah"; 5
"I just wanna die sometimes Don't let me die in the dark Don't let me die in the dark Don't let me die in the dark"; 5
"Don't let me lose my mind 'Cause it's falling apart Yeah it's falling apart yeah it's falling apart It was a real bad night"; 5
"Don't let me die in the dark Don't let me die in the dark Don't let me die in the dark Don't let me lose my mind"; 5
"'Cause it's falling apart Yeah it's falling apart yeah It's falling apart ohh ohh Don't let me die in the dark"; 5
"Don't let me die in the dark Don't let me die in the dark Don't let me lose my mind 'Cause it's falling apart Yeah it's falling apart yeah it's falling apart It was a real bad night"; 5
"Any minute, any moment, anytime Hard to focus, when you show up, on my mind You become a problem I don't wanna fix"; 1, 2
"'Cause I like this baby, when Give me one more night with you alone Can you stay"; 1, 2
"Cause I how long I have to go without U sometimes I just wanna be with you some nights I can't sleep without you by my side"; 1, 4, 5
"I just wanna be with you, you You and I can't go wrong Because it feels so right I can't sleep without you by my side"; 1, 2
"I just wanna be with you, you Anybody that I've ever loved before Can't remember any other, any more"; 1
"Nothing in the world has ever made me feel like this Needed you on my lips, baby when"; 1, 2
"Give me one more night with you alone Just stay Girl, I hate how long I have to go without"; 1, 5
"U sometimes I just wanna be with you some nights I can't sleep without you by my side I just wanna be with you, you"; 1, 4
"You and I can't go wrong Because it feels so right I can't sleep without you by my side I just wanna be with you, you"; 1, 2
"Girl, I hate how long I have to go without U sometimes I just wanna be with you some nights I can't sleep without you by my side"; 1, 4, 5
"I just wanna be with you, you You and I can't go wrong Because it feels so right I can't sleep without you by my side (by my side) I just wanna be with you, you Without you (oh oh oh, yeah) Without you'"; 1, 2, 4
"Save, save all of your doubts for later Stay, all I know is I want you here by my side"; 1
"'Cause I already know it's you and I Oh, I, I don't wanna Wait, wait another second for your love"; 1, 2
"Stay, I don't need no time to figure out Why, why I can't get you out of my mind"; 1, 2
"Sometimes you know the feeling right away I've got a million words, but can't explain"; 1, 2
"Why I fell hard so instantly When I don't even know your name"; 1, 2
"Somebody told me wake up and learn from mistakes So I won't let a moment like this go to waste"; 1
"I fell hard so instantly And I don't even know your name"; 1, 2
"Hey, I could float forever in your Space, I wanna hear everything 'bout your history"; 1, 2
"And how you've been missin' out on me And I know, yeah, I know, yeah, I know, yeah, that we are meant to be"; 1, 2
"Even though I don't know you, I know we got chemistry Oh, hey, I never knew that I could fall this easily, ooh"; 1, 2
"Sometimes you know the feeling right away I've got a million words, but can't explain Why I fell hard so instantly When I don't even know your name"; 1, 2
"Somebody told me wake up and learn from mistakes So I won't let a moment like this go to waste I fell hard so instantly And I don't even know your name"; 1, 2
"Dream another nightmare I'm in love with all these ghosts Stumble up a flight of stairs Wake up all alone"; 4, 5
"Mixin' up my words now Don't leave me high and dry 'Cause I'm mixin' up prescriptions I don't wanna lose my life"; 3, 5
"I'm afraid that misery Might take me backwards I'm afraid my misery Might bring you down"; 5
"It's 'cause I don't love me anymore I kill myself every day a little more And I need you now like I needed you then"; 5
"I don't love me so I can't love you in the end I don't love you anymore I lose myself every day a little more"; 5
"And I don't need you now Like I needed you then I don't love me so I can't love you in the end"; 5
"I wish that I was someone else Different face and different home 'Cause I'm cleanin' out my closet Afraid of what I'll find alone"; 4, 5
"Now I'm tryin' to remember What it felt like to hold you You said 'why you let yourself down?' 'Why do these demons control you?'"; 5
"I'm afraid that misery Might take me backwards I'm afraid my misery might bring you down"; 5
"It's 'cause I don't love me anymore I kill myself every day a little more And I need you now like I needed you then"; 5
"I don't love me so I can't love you in the end I don't love you anymore I lose myself every day a little more"; 5
"And I don't need you now Like I needed you then I don't love me so I can't love you in the end In the end In the end"; 5
"I don't really love you I can't even hug you I don't love me I can't love you"; 5
"You wear your heart upon your sleeve For everyone to see And the hardest part when you're torn apart Is fixing the seams"; 5
"Been heart-torn many times Heard one too many lies He'd disappear for hours No he never bought you flowers"; 5
"If he wanted to he would But thank god that he didn't It only took me one night To show you what you were missing"; 1
"You pulled me closer then you whispered 'You're the best I've ever had' I'm gon' treat you like you should If he wanted to he would"; 1
"Now you spend your time in my black Corvette You converted me god I love brunettes You're a fire sign but you're delicate"; 1
"You speak your mind and I'm into it When you know you know it's right I'm not like the last guy He'd disappear for hours No he never bought you flowers"; 1
"If he wanted to he would But thank god that he didn't It only took me one night To show you what you were missing"; 1
"You pulled me closer then you whispered 'You're the best I've ever had' I'm gon' treat you like you should If he wanted to he would"; 1
"You in that little black dress Are in my heart for forever Keep your picture around my neck So you always remember"; 1
"You in that little black dress Are in my heart for forever Keep your picture around my neck So you always remember"; 1
"If he wanted to he would But thank god that he didn't It only took me one night To show you what you were missing"; 1
"You pulled me closer then you whispered 'You're the best I've ever had' I'm gon' treat you like you should If he wanted to he would"; 1
"If he wanted to he would (If he wanted to ?) If he wanted to he would'"; 1
"꽁꽁 얼어붙은 세상의 끝에서 우리는 만날 테지 뒤돌아 헤어지는 다리 위에서 한 번 더 돌아보지"; 0
"내가 어른이 되면 이 마음의 가난을 벗어날 수 있을까 내가 어른이 되면 너의 외로움을 꼭 안아줄 거야"; 1, 4
"사랑을 마주해도 쉽게 다 도망치니 분명 사랑했다 해도 이게 다 소용없지"; 5
"용서를 빌던 밤에 새하얗게 가려진 이전에 알던 세상이 전부 다 사라졌지"; 5
"뚜루루 루루 뚜 루루 뚜루 뚜루루 루루 뚜 루루 뚜루 뚜루루 루루 뚜 루루 뚜루 뚜루루 루루 뚜 루루 뚜"; 6
"내가 어른이 되면 이 마음의 가난을 벗어날 수 있을까 내가 어른이 되면 너의 외로움을 꼭 안아줄 거야"; 1, 4
"내가 어른이 되면 이 마음의 가난을 벗어날 수 있을까 내가 어른이 되면 너의 외로움을 꼭 안아줄 거야"; 1, 4
"꽁꽁 얼어붙은 세상의 끝에서 우리는 만날 테지 뒤돌아 헤어지는 다리 위에서 한 번 더 돌아보지"; 0
"부디 그대 나를 잡아줘 흔들리는 나를 일으켜 제발 이 거친 파도가 날 집어 삼키지 않게"; 1, 5
"부디 그대 나를 안아줘 흔들리는 나를 붙잡아 제발 이 거친 바람이 나를 넘어뜨리려 해"; 1, 5
"저기 우리 함께 눈물짓던 그 때 그 모습이 보여 이젠 눈이 부시던 날의 기억 그래, 그 순간 하나로 살테니"; 1, 5
"부디 다시 한 번 나를 안고 제발, 지친 나를 일으켜줘 우리 사랑 했었던 날들 아직 모든 것들이 꿈만 같아"; 1, 5
"부디 다시 한 번 나를 깨워 제발, 지친 나를 일으켜줘 다시 나의 손을 잡아줘 이제 잡은 두 손을 다신 놓지마"; 1, 5
"제발 그대 이렇게 다시 떠나가는 날 이젠 언제쯤 다시 볼 수 있을지 우리 이렇게 헤어지면, 언젠가는 또 다시"; 4, 5
